timestamp,process_name,window_title,process_id,application_name,application_path,working_directory,monitor_type,is_new_document,office_app_type
2025-02-25 22:22:25,Cursor.exe,main.py - Documents - Cursor,36936,Cursor.exe,C:\Users\gbrai\AppData\Local\Programs\cursor\Cursor.exe,,general,False,
2025-02-25 22:22:26,python.exe,Window Tracker,30868,python.exe,C:\Users\gbrai\AppData\Local\Programs\Python\Python311\python.exe,,general,False,
2025-02-25 22:22:27,explorer.exe,Documents - エクスプローラー,8872,explorer.exe,C:\WINDOWS\explorer.exe,C:\Users\gbrai\Documents,explorer,False,
2025-02-25 22:22:29,explorer.exe,,8872,explorer.exe,C:\Windows\explorer.exe,,general,False,
2025-02-25 22:22:30,excel.exe,いいい.xlsx - Excel,18036,excel.exe,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,C:\Users\gbrai\Documents\いいい.xlsx,office,False,Excel
2025-02-25 22:22:33,excel.exe,データサイエンス勉強.xlsx - Excel,18036,excel.exe,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,https://d.docs.live.net/7644f793de75c574/デスクトップ/データサイエンス勉強.xlsx,office,False,Excel
2025-02-25 22:22:38,explorer.exe,デスクトップ - エクスプローラー,8872,explorer.exe,C:\WINDOWS\explorer.exe,C:\Users\gbrai\OneDrive\デスクトップ,explorer,False,
2025-02-25 22:22:42,powerpnt.exe,起動しています - PowerPoint,17668,powerpnt.exe,C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE,,office,True,PowerPoint
2025-02-25 22:22:44,powerpnt.exe,ノート_データサイエンス.pptx - PowerPoint,17668,powerpnt.exe,C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE,,office,True,PowerPoint
2025-02-25 22:22:55,explorer.exe,Documents - エクスプローラー,8872,explorer.exe,C:\WINDOWS\explorer.exe,C:\Users\gbrai\Documents,explorer,False,
2025-02-25 22:23:03,explorer.exe,ダウンロード - エクスプローラー,8872,explorer.exe,C:\WINDOWS\explorer.exe,C:\Users\gbrai\Downloads,explorer,False,
2025-02-25 22:23:55,Cursor.exe,main.py - Documents - Cursor,36936,Cursor.exe,C:\Users\gbrai\AppData\Local\Programs\cursor\Cursor.exe,,general,False,
2025-02-25 22:23:56,python.exe,Window Tracker,29468,python.exe,C:\Users\gbrai\AppData\Local\Programs\Python\Python311\python.exe,,general,False,
2025-02-25 22:24:57,Cursor.exe,main.py - Documents - Cursor,36936,Cursor.exe,C:\Users\gbrai\AppData\Local\Programs\cursor\Cursor.exe,,general,False,
2025-02-25 22:24:58,python.exe,Window Tracker,31432,python.exe,C:\Users\gbrai\AppData\Local\Programs\Python\Python311\python.exe,,general,False,
2025-02-25 22:24:59,explorer.exe,,8872,explorer.exe,C:\Windows\explorer.exe,,general,False,
2025-02-25 22:25:00,winword.exe,仕事量丸裸システム.rtf  -  互換モード - Word,16288,winword.exe,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,C:\Users\gbrai\Downloads\仕事量丸裸システム.rtf,office,False,Word
